98 - ( 0.75 , 0.25 , 45.0 ) - [ 18.5908360481 , 21.4641449451 , 20.0337970257 ]
99 - ( 0.75 , 0.25 , 90.0 ) - [ 17.6240952015 , 20.0338270664 , 19.5460729599 ]
100 - ( 0.75 , 0.25 , 135.0 ) - [ 16.6806929111 , 19.0809421539 , 20.5242209435 ]
101 - ( 0.75 , 0.25 , 180.0 ) - [ 16.2024140358 , 18.1177988052 , 21.4849181175 ]
102 - ( 0.75 , 0.25 , 225.0 ) - [ 17.1763458252 , 17.1484899521 , 22.4221749306 ]
103 - ( 0.75 , 0.25 , 270.0 ) - [ 18.1210429668 , 18.5850980282 , 22.9057631493 ]
104 - ( 0.75 , 0.25 , 315.0 ) - [ 19.064139843 , 19.5455319881 , 21.9421238899 ]
105 - ( 0.75 , 0.5 , 0.0 ) - [ 19.5451278687 , 20.5045280457 , 20.9855020046 ]
106 - ( 0.75 , 0.5 , 45.0 ) - [ 18.5830709934 , 20.0220570564 , 20.0256569386 ]
107 - ( 0.75 , 0.5 , 90.0 ) - [ 17.6212079525 , 19.0642981529 , 21.4988520145 ]
108 - ( 0.75 , 0.5 , 135.0 ) - [ 16.6619470119 , 18.1062960625 , 22.4425008297 ]
109 - ( 0.75 , 0.5 , 180.0 ) - [ 17.1722021103 , 17.1494090557 , 23.4027678967 ]
110 - ( 0.75 , 0.5 , 225.0 ) - [ 18.1254239082 , 17.629830122 , 24.343526125 ]
111 - ( 0.75 , 0.5 , 270.0 ) - [ 19.0627598763 , 18.5835950375 , 22.9130830765 ]
112 - ( 0.75 , 0.5 , 315.0 ) - [ 20.0215709209 , 19.5436820984 , 21.9423789978 ]
113 - ( 0.75 , 0.75 , 0.0 ) - [ 20.5205879211 , 22.4260349274 , 22.9037458897 ]
114 - ( 0.75 , 0.75 , 45.0 ) - [ 19.5484728813 , 20.9802191257 , 21.4620950222 ]
115 - ( 0.75 , 0.75 , 90.0 ) - [ 18.5817010403 , 20.0227119923 , 23.4016819 ]
116 - ( 0.75 , 0.75 , 135.0 ) - [ 17.1427111626 , 19.0632128716 , 24.3633048534 ]
117 - ( 0.75 , 0.75 , 180.0 ) - [ 19.0928981304 , 17.625868082 , 25.3166549206 ]
118 - ( 0.75 , 0.75 , 225.0 ) - [ 20.0499660969 , 19.5445270538 , 25.7870690823 ]
119 - ( 0.75 , 0.75 , 270.0 ) - [ 21.0008749962 , 20.5012850761 , 24.8230478764 ]
120 - ( 0.75 , 0.75 , 315.0 ) - [ 21.4623150826 , 21.4626281261 , 23.8623600006 ]
121 - ( 0.75 , 1.0 , 0.0 ) - [ 22.4351160526 , 23.8768639565 , 25.7955629826 ]
